comdistnm,jobstatusdesc,licencetypes,tradename,first_iss_dt,industry_sector,is_growth,community_volume,impact_weight,is_licensed,vitality_index,recent_growth_count,strategic_action
THORNCLIFFE,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),TRAVOIS APARTMENTS,2001-06-01 00:00:00,Retail Trade,0,64,0.78,0,0.09,894,STABLE OPERATIONS
COUNTRY HILLS VILLAGE,Renewal Licensed,MASSAGE CENTRE (COMMERCIAL),PANTHER SPORTS MEDICINE & REHABILITATION CENTRES (CARDEL),2005-03-28 13:37:11,Massage,0,60,0.73,0,0.03,88,STABLE OPERATIONS
GREAT PLAINS,Renewal Licensed,FABRIC CLEANING,K-BRO LINEN SYSTEMS,2008-07-09 05:34:05,Personal Services,0,174,2.12,0,0.07,20,URGENT INTERVENTION
MANCHESTER,Renewal Licensed,AUTO BODY SHOP,CRAFTSMAN COLLISION,2008-04-24 08:02:21,Retail Trade,0,165,2.01,0,0.15,894,URGENT INTERVENTION
ELBOYA,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),APARTMENT BUILDING,2008-10-08 09:31:04,Retail Trade,0,22,0.27,0,0.09,894,STABLE OPERATIONS
SHERWOOD,Renewal Licensed,KENNEL SERVICE/PET DEALER,PETSMART #1200,2006-09-12 15:13:57,Retail Trade,0,76,0.93,0,0.09,894,STABLE OPERATIONS
FOREST LAWN INDUSTRIAL,Renewal Licensed,LIQUOR STORE,SUPERLOW LIQUOR,2009-07-28 15:40:48,Liquor & Nightlife,0,149,1.82,0,0.15,37,MONITOR FRICTION
FOOTHILLS,Renewal Licensed,MANUFACTURER,A B CUSHING MILLS (2014),2014-09-30 15:54:48,Manufacturer,0,850,10.37,0,0.09,72,URGENT INTERVENTION
FAIRVIEW INDUSTRIAL,Renewal Licensed,HOTEL/MOTEL,TRAVELODGE,2015-08-05 15:52:01,Hotel/motel,0,325,3.96,0,0.1,0,URGENT INTERVENTION
LOWER MOUNT ROYAL,Renewal Licensed,"ENTERTAINMENT ESTABLISHMENT,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",BIRA 17 KITCHEN + BAR,2024-08-13 12:29:22,Food & Beverage,0,145,1.77,0,0.14,943,MONITOR FRICTION
MANCHESTER INDUSTRIAL,Renewal Licensed,MANUFACTURER,CHOPVALUE YYC,2021-01-13 14:52:11,Manufacturer,0,827,10.09,0,0.1,72,URGENT INTERVENTION
STONEY 2,Renewal Licensed,WHOLESALER,UNI-SELECT,2019-12-19 10:44:44,Wholesaler,0,98,1.2,0,0.1,73,STABLE OPERATIONS
EAST SHEPARD INDUSTRIAL,Renewal Licensed,MANUFACTURER,ENVIRO TREAD,2019-11-07 10:32:48,Manufacturer,0,576,7.02,0,0.08,72,URGENT INTERVENTION
HIGHFIELD,Renewal Licensed,PERSONAL SERVICE,HAIR BY KELAUREN,2025-02-07 15:43:11,Personal,0,441,5.38,0,0.1,449,URGENT INTERVENTION
MCCALL,Licensed,MANUFACTURER,UNICO POWER,2026-02-03 13:49:30,Manufacturer,1,387,4.72,1,0.15,72,URGENT INTERVENTION
HILLHURST,Licensed,PERSONAL SERVICE,NAILGIC,2025-08-28 11:23:41,Personal,1,247,3.01,1,0.17,449,URGENT INTERVENTION
DOWNTOWN COMMERCIAL CORE,Licensed,PERSONAL SERVICE,MR. BARBER,2026-03-13 09:09:11,Personal,1,830,10.12,1,0.13,449,URGENT INTERVENTION
ARBOUR LAKE,Pending Renewal,"RETAIL DEALER - PREMISES,
ALARM AGENCY",TOM HARRIS CELLULAR,2017-07-07 12:25:13,Retail Trade,0,204,2.49,0,0.07,894,URGENT INTERVENTION
NORTH AIRWAYS,Pending Renewal,WHOLESALER,DATTANI WHOLESALERS,2012-06-11 15:55:03,Wholesaler,0,247,3.01,0,0.1,73,URGENT INTERVENTION
STONEY 1,Renewal Invoiced,MANUFACTURER,INOVA SYSTEMS,2012-04-14 05:58:21,Manufacturer,0,61,0.74,0,0.11,72,STABLE OPERATIONS
CAPITOL HILL,Renewal Invoiced,LIQUOR STORE,DAILY LIQUOR WINE AND SPIRITS,2023-04-21 15:41:32,Liquor & Nightlife,0,88,1.07,0,0.1,37,STABLE OPERATIONS
OGDEN SHOPS,Renewal Licensed,WHOLESALER,WHITE CAP CANADA,2016-12-15 10:33:05,Wholesaler,0,13,0.16,0,0.0,73,STABLE OPERATIONS
MCCALL,Renewal Licensed,WHOLESALER,FURNITURE WORLD,2016-12-20 11:10:32,Wholesaler,0,387,4.72,0,0.15,73,URGENT INTERVENTION
EAST FAIRVIEW INDUSTRIAL,Renewal Licensed,"RETAIL DEALER - PREMISES,
WHOLESALER",LEE VALLEY TOOLS,2001-06-01 00:00:00,Retail Trade,0,151,1.84,0,0.06,894,MONITOR FRICTION
FOOTHILLS,Renewal Licensed,CONTRACTOR,CORNAD CONTRACTING,2013-10-02 14:01:56,Construction & Trades,0,850,10.37,0,0.09,404,URGENT INTERVENTION
BELTLINE,Renewal Licensed,PERSONAL SERVICE (FITNESS CONDITIONING),DOCTRINE TRAINING (THE),2021-08-17 15:38:12,Personal,0,971,11.84,0,0.11,449,URGENT INTERVENTION
BELTLINE,Renewal Licensed,PHOTOGRAPHER,MAS STUDIOS,2021-01-21 14:59:51,Photographer,0,971,11.84,0,0.11,11,URGENT INTERVENTION
CEDARBRAE,Renewal Licensed,PERSONAL SERVICE,GOLD NAILS SALON & SPA,2021-11-25 10:33:56,Personal,0,15,0.18,0,0.07,449,STABLE OPERATIONS
CASTLERIDGE,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),CASTLEVIEW PARK,2025-04-23 11:24:46,Retail Trade,1,8,0.1,0,0.0,894,STABLE OPERATIONS
FOOTHILLS,Licensed,MANUFACTURER,PARADISE PACKAGING (CALGARY),2025-09-24 11:58:48,Manufacturer,1,850,10.37,1,0.09,72,URGENT INTERVENTION
SOUTH CALGARY,Licensed,RETAIL DEALER - PREMISES,NOCTURNE BOOKS,2025-11-12 14:42:53,Retail Trade,1,198,2.41,1,0.22,894,URGENT INTERVENTION
HAYSBORO,Licensed,RETAIL DEALER - PREMISES,LAN SOLUTIONS,2025-12-22 15:03:55,Retail Trade,1,212,2.59,1,0.13,894,URGENT INTERVENTION
SETON,Pending Renewal,RETAIL DEALER - PREMISES,FUNKY PETALS,2017-07-04 09:23:49,Retail Trade,0,111,1.35,0,0.23,894,MONITOR FRICTION
MEDICINE HILL,Pending Renewal,RETAIL DEALER - PREMISES,SLEEP COUNTRY CANADA,2021-07-06 12:56:07,Retail Trade,0,42,0.51,0,0.24,894,STABLE OPERATIONS
CLIFF BUNGALOW,Pending Renewal,PERSONAL SERVICE,ANNA MASTOV ESTHETICIAN,2025-06-30 12:30:33,Personal,1,125,1.52,0,0.1,449,MONITOR FRICTION
SIGNAL HILL,Pending Renewal,PERSONAL SERVICE,HE & SHE HAIRCUTTERS,2016-06-20 14:40:49,Personal,0,139,1.7,0,0.08,449,MONITOR FRICTION
DOUGLASDALE/GLEN,Pending Renewal,PERSONAL SERVICE,DOUGLASDALE BARBER SHOP,2017-06-05 12:08:40,Personal,0,69,0.84,0,0.1,449,STABLE OPERATIONS
MANCHESTER,Pending Renewal,WHOLESALER,MAXWELL PAPER,2020-06-23 09:08:00,Wholesaler,0,165,2.01,0,0.15,73,URGENT INTERVENTION
MILLRISE,Pending Renewal,FOOD SERVICE - PREMISES (NO SEATING),ROYAL PIZZA,2025-05-28 11:47:10,Food & Beverage,1,20,0.24,0,0.05,943,STABLE OPERATIONS
SADDLE RIDGE,Renewal Invoiced,FOOD SERVICE - PREMISES (NO SEATING),DELHI BAKERY,2023-05-17 15:45:25,Food & Beverage,0,111,1.35,0,0.19,943,MONITOR FRICTION
MCCALL,Renewal Invoiced,MANUFACTURER,JAY'S METALS,2019-05-17 05:34:33,Manufacturer,0,387,4.72,0,0.15,72,URGENT INTERVENTION
MEDICINE HILL,Renewal Invoiced,RETAIL DEALER - PREMISES,PETSMART 2782,2021-05-03 14:29:59,Retail Trade,0,42,0.51,0,0.24,894,STABLE OPERATIONS
WILDWOOD,Renewal Invoiced,PERSONAL SERVICE,WITCH HAZEL HAIR,2024-05-09 08:06:08,Personal,0,31,0.38,0,0.16,449,STABLE OPERATIONS
HILLHURST,Renewal Licensed,PERSONAL SERVICE,KETTI_NAILS88,2024-10-04 14:53:30,Personal,0,247,3.01,0,0.17,449,URGENT INTERVENTION
MCCALL,Renewal Licensed,WHOLESALER,PRO WEST CLEANING SUPPLIES,2018-05-10 15:02:27,Wholesaler,0,387,4.72,0,0.15,73,URGENT INTERVENTION
MEADOWLARK PARK,Renewal Licensed,RETAIL DEALER - PREMISES,ECCO SHOES,2015-11-04 15:50:03,Retail Trade,0,209,2.55,0,0.09,894,URGENT INTERVENTION
FRANKLIN,Renewal Licensed,WHOLESALER,WALLBOARD TRIM & TOOL,2016-04-14 10:15:32,Wholesaler,0,332,4.05,0,0.1,73,URGENT INTERVENTION
MERIDIAN,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),STANTEC CAFE,2022-12-01 14:12:27,Food & Beverage,0,193,2.35,0,0.12,943,URGENT INTERVENTION
SHAWNESSY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),WETZEL'S PRETZELS,2022-09-08 15:19:53,Food & Beverage,0,160,1.95,0,0.06,943,MONITOR FRICTION
COUNTRY HILLS,Renewal Licensed,SCHOOL (PROV. NOT REQUIRED),ZHAOLI DANCE SCHOOL,2017-04-11 10:20:48,School,0,54,0.66,0,0.06,52,STABLE OPERATIONS
FOOTHILLS,Renewal Licensed,CONTRACTOR,CALROSE ELECTRIC,2001-06-01 00:00:00,Construction & Trades,0,850,10.37,0,0.09,404,URGENT INTERVENTION
CHINATOWN,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),TRUNG-NGUYEN VIETNAMESE SUBS,2002-11-09 05:33:41,Food & Beverage,0,152,1.85,0,0.12,943,MONITOR FRICTION
MARLBOROUGH,Renewal Licensed,PERSONAL SERVICE,CHATTERS,2004-05-08 05:35:57,Personal,0,138,1.68,0,0.13,449,MONITOR FRICTION
FAIRVIEW INDUSTRIAL,Renewal Licensed,CONTRACTOR,LUX WOODCRAFT,2009-10-29 09:13:07,Construction & Trades,0,325,3.96,0,0.1,404,URGENT INTERVENTION
SUNRIDGE,Renewal Licensed,RETAIL DEALER - PREMISES,STITCH IT,2006-09-19 14:55:31,Retail Trade,0,385,4.7,0,0.12,894,URGENT INTERVENTION
BELTLINE,Renewal Licensed,WHOLESALER,THEITEAM,2010-01-27 15:52:11,Wholesaler,0,971,11.84,0,0.11,73,URGENT INTERVENTION
FOOTHILLS,Renewal Licensed,MANUFACTURER,M2M MACHINING,2011-11-17 08:22:38,Manufacturer,0,850,10.37,0,0.09,72,URGENT INTERVENTION
MERIDIAN,Renewal Licensed,MANUFACTURER,ALBERTA LAMINATION,2013-01-22 14:19:25,Manufacturer,0,193,2.35,0,0.12,72,URGENT INTERVENTION
MEADOWLARK PARK,Renewal Licensed,RETAIL DEALER - PREMISES,TNA,2011-04-19 12:46:59,Retail Trade,0,209,2.55,0,0.09,894,URGENT INTERVENTION
HAYSBORO,Renewal Licensed,RETAIL DEALER - PREMISES,EASYHOME #206,2015-07-29 15:20:39,Retail Trade,0,212,2.59,0,0.13,894,URGENT INTERVENTION
MEADOWLARK PARK,Renewal Licensed,RETAIL DEALER - PREMISES,URBAN OUTFITTERS,2015-10-26 10:19:56,Retail Trade,0,209,2.55,0,0.09,894,URGENT INTERVENTION
BELVEDERE,Renewal Licensed,PERSONAL SERVICE,GREAT CLIPS,2015-11-18 09:17:54,Personal,0,47,0.57,0,0.04,449,STABLE OPERATIONS
SOUTHWOOD,Renewal Licensed,PERSONAL SERVICE,STYLE STUDIO HAIR,2019-03-11 11:32:15,Personal,0,76,0.93,0,0.08,449,STABLE OPERATIONS
Unknown,Renewal Licensed,ENTERTAINMENT ESTABLISHMENT,PEOPLES TABLE TENNIS CLUB ASSOCIATION,2023-01-16 13:01:56,Entertainment,0,28,0.34,0,0.04,5,STABLE OPERATIONS
MCCALL,Renewal Licensed,CONTRACTOR,CHINOOK ELEVATOR,2023-03-21 10:47:25,Construction & Trades,0,387,4.72,0,0.15,404,URGENT INTERVENTION
WEST SPRINGS,Renewal Licensed,PERSONAL SERVICE,NOORI AESTHETICS & LASER,2020-08-25 08:23:39,Personal,0,113,1.38,0,0.23,449,MONITOR FRICTION
MISSION,Renewal Licensed,PERSONAL SERVICE,ZAETL ELECTROLYSIS,2021-03-12 14:51:12,Personal,0,164,2.0,0,0.13,449,MONITOR FRICTION
WESTWINDS,Renewal Licensed,MANUFACTURER,ENERMAX SOLUTIONS,2020-10-27 14:56:05,Manufacturer,0,366,4.46,0,0.22,72,URGENT INTERVENTION
GREENVIEW INDUSTRIAL PARK,Renewal Licensed,WHOLESALER,SAMROK CANADA,2023-07-19 10:08:48,Wholesaler,0,359,4.38,0,0.09,73,URGENT INTERVENTION
FRANKLIN,Renewal Licensed,PERSONAL SERVICE,EDEN SPA AND SKIN CLINIC,2023-12-04 11:00:04,Personal,0,332,4.05,0,0.1,449,URGENT INTERVENTION
WILLOW PARK,Renewal Licensed,RETAIL DEALER - PREMISES,PANDORA,2024-02-16 11:11:54,Retail Trade,0,313,3.82,0,0.1,894,URGENT INTERVENTION
PEGASUS,Renewal Licensed,CONTRACTOR,CAPITAL DRYWALL ALBERTA,2001-06-01 00:00:00,Construction & Trades,0,45,0.55,0,0.09,404,STABLE OPERATIONS
SOUTH AIRWAYS,Renewal Licensed,MOTOR VEHICLE DEALER - PREMISES,NEXT CAR,2024-09-20 16:00:41,Retail Trade,0,496,6.05,0,0.1,894,URGENT INTERVENTION
SILVER SPRINGS,Renewal Licensed,CANNABIS STORE,13TH FLOOR CANNABIS,2020-08-04 13:49:52,Retail Trade,0,30,0.37,0,0.03,894,STABLE OPERATIONS
HAYSBORO,Renewal Licensed,MASSAGE CENTRE (COMMERCIAL),ALIGNMENT FIRST,2021-03-16 13:26:26,Massage,0,212,2.59,0,0.13,88,URGENT INTERVENTION
MCCALL,Renewal Licensed,"RETAIL DEALER - PREMISES,
CONTRACTOR",GREENFOX WINDOWS & DOORS,2023-10-06 12:37:58,Retail Trade,0,387,4.72,0,0.15,894,URGENT INTERVENTION
STARFIELD,Renewal Licensed,WHOLESALER,DURA LITE HEAT TRANSFER PRODUCTS,2025-01-07 14:40:46,Wholesaler,0,89,1.09,0,0.04,73,STABLE OPERATIONS
SHEPARD INDUSTRIAL,Renewal Licensed,DISTRIBUTION MANAGER,W F F FITTINGS & FLANGES,2022-03-14 09:03:15,Distribution,0,197,2.4,0,0.09,6,URGENT INTERVENTION
FOOTHILLS,Renewal Licensed,"RETAIL DEALER - PREMISES,
VAPE RETAILER",DIGITAL IMPORTS / THE VAPE WAREHOUSE,2017-03-08 11:24:27,Retail Trade,0,850,10.37,0,0.09,894,URGENT INTERVENTION
DOWNTOWN COMMERCIAL CORE,Renewal Licensed,"CHARITABLE ORGANIZATION,
SECONDHAND DEALER,
FOOD SERVICE - PREMISES",KNOX UNITED CHURCH,2001-06-01 00:00:00,Food & Beverage,0,830,10.12,0,0.13,943,URGENT INTERVENTION
FOOTHILLS,Renewal Licensed,CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED),WHITE CAP SOLUTIONS,2023-08-31 15:13:37,Construction & Trades,0,850,10.37,0,0.09,404,URGENT INTERVENTION
MANCHESTER INDUSTRIAL,Pending Renewal,"MOTOR VEHICLE DEALER - NO PREMISES,
PAWNBROKER (GRANDFATHERED)",ROCKY MOUNTAIN PAWN,2001-06-01 00:00:00,Retail Trade,0,827,10.09,0,0.1,894,URGENT INTERVENTION
ACADIA,Renewal Licensed,MASSAGE CENTRE (COMMERCIAL),HEIRLOOM HEALTH,2023-05-10 16:10:16,Massage,0,198,2.41,0,0.14,88,URGENT INTERVENTION
ROSSCARROCK,Renewal Licensed,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES",GANDOUR HALAL MEATS,2007-01-31 05:33:17,Food & Beverage,0,91,1.11,0,0.14,943,STABLE OPERATIONS
MANCHESTER INDUSTRIAL,Renewal Licensed,CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED),POMERLEAU,2017-11-02 13:45:31,Construction & Trades,0,827,10.09,0,0.1,404,URGENT INTERVENTION
DOWNTOWN COMMERCIAL CORE,Renewal Licensed,RETAIL DEALER - PREMISES,CITY TIME WATCH CLOCK & JEWELLERY,2006-04-06 11:14:00,Retail Trade,0,830,10.12,0,0.13,894,URGENT INTERVENTION
STARFIELD,Pending Renewal,WHOLESALER,FLEETSTOP TRAILERS,2019-06-20 05:32:45,Wholesaler,0,89,1.09,0,0.04,73,STABLE OPERATIONS
SOUTH FOOTHILLS,Licensed,MANUFACTURER,STEELHAUS TECHNOLOGIES,2025-10-01 12:05:41,Manufacturer,1,123,1.5,1,0.12,72,MONITOR FRICTION
BELTLINE,Pending Renewal,RETAIL DEALER - PREMISES,GLAMWIGS,2021-07-05 10:31:32,Retail Trade,0,971,11.84,0,0.11,894,URGENT INTERVENTION
FOOTHILLS,Renewal Licensed,WHOLESALER,EM PLASTIC & ELECTRICAL PRODUCTS,2005-08-31 15:24:55,Wholesaler,0,850,10.37,0,0.09,73,URGENT INTERVENTION
ALBERT PARK/RADISSON HEIGHTS,Renewal Licensed,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (NO SEATING)",NATURE'S FOOD & SPICE,2002-07-19 17:19:52,Food & Beverage,0,63,0.77,0,0.08,943,STABLE OPERATIONS
STONEY 3,Renewal Licensed,"TOBACCO RETAILER,
RETAIL DEALER - PREMISES,
FUEL SALES/STORAGE,
FOOD SERVICE - PREMISES,
VAPE RETAILER",CALGARY CO-OP #56 JACKSONPORT GAS BAR,2019-09-09 16:12:51,Food & Beverage,0,250,3.05,0,0.28,943,URGENT INTERVENTION
SAGE HILL,Licensed,"MASSAGE CENTRE (COMMERCIAL),
RETAIL DEALER - PREMISES",MASSAGE ADDICT,2026-01-08 08:01:40,Retail Trade,1,117,1.43,1,0.25,894,MONITOR FRICTION
SIGNAL HILL,Renewal Licensed,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (NO SEATING),
BODY RUB CENTRE (GRANDFATHERED MASSAGE CENTRE COMMERCIAL)",MORNING SUN HEALTH FOODS,2001-06-01 00:00:00,Food & Beverage,0,139,1.7,0,0.08,943,MONITOR FRICTION
HAYSBORO,Renewal Licensed,MANUFACTURER,SURE PRINT,2019-02-26 15:26:07,Manufacturer,0,212,2.59,0,0.13,72,URGENT INTERVENTION
MISSION,Renewal Licensed,RETAIL DEALER - PREMISES (MAIL ORDER),KINGLY (THE),2023-11-08 07:59:26,Retail Trade,0,164,2.0,0,0.13,894,MONITOR FRICTION
FOOTHILLS,Licensed,WAREHOUSING,FUTURE TRANSFER,2026-01-05 14:29:03,Warehousing,1,850,10.37,1,0.09,25,URGENT INTERVENTION
HIGHFIELD,Pending Renewal,"ALCOHOL BEVERAGE MANUFACTURER,
RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES",GRADIENT,2021-06-24 08:35:24,Food & Beverage,0,441,5.38,0,0.1,943,URGENT INTERVENTION
SUNRIDGE,Renewal Invoiced,RETAIL DEALER - PREMISES,JOURNEYS #5017,2012-04-21 05:52:08,Retail Trade,0,385,4.7,0,0.12,894,URGENT INTERVENTION
DOWNTOWN COMMERCIAL CORE,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),HULA,2018-03-08 08:03:42,Food & Beverage,0,830,10.12,0,0.13,943,URGENT INTERVENTION
CLIFF BUNGALOW,Renewal Licensed,"CHARITABLE ORGANIZATION,
RETAIL DEALER - PREMISES",SOCIETE FRANCO-CANADIENNE,2001-06-01 00:00:00,Retail Trade,0,125,1.52,0,0.1,894,MONITOR FRICTION
LOWER MOUNT ROYAL,Renewal Licensed,"ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",LURE,2019-01-31 11:35:22,Food & Beverage,0,145,1.77,0,0.14,943,MONITOR FRICTION
FOOTHILLS,Renewal Licensed,"RETAIL DEALER - PREMISES,
CONTRACTOR",GOOD TIME PARTY RENTALS,2003-02-14 05:34:38,Retail Trade,0,850,10.37,0,0.09,894,URGENT INTERVENTION
GREAT PLAINS,Renewal Licensed,MANUFACTURER,POLYMER SCIENCE,2016-05-09 12:48:30,Manufacturer,0,174,2.12,0,0.07,72,URGENT INTERVENTION
MANCHESTER,Renewal Licensed,"PERSONAL SERVICE,
MASSAGE CENTRE (COMMERCIAL),
RETAIL DEALER - PREMISES",TAICHI MASSAGE & THERAPY,2020-10-24 05:31:23,Retail Trade,0,165,2.01,0,0.15,894,URGENT INTERVENTION
EAST SHEPARD INDUSTRIAL,Renewal Licensed,WHOLESALER,P B S FINANCIAL SYSTEMS,2021-12-02 16:38:24,Wholesaler,0,576,7.02,0,0.08,73,URGENT INTERVENTION
ALYTH/BONNYBROOK,Renewal Invoiced,MOTOR VEHICLE DEALER - PREMISES,AUTO AVENUE SUPER STORE,2025-04-15 10:07:12,Retail Trade,1,223,2.72,0,0.1,894,URGENT INTERVENTION
MIDNAPORE,Renewal Licensed,PERSONAL SERVICE,LM HAIR DESIGN,2017-02-09 09:17:09,Personal,0,163,1.99,0,0.11,449,MONITOR FRICTION
GLENDALE,Renewal Licensed,RETAIL DEALER - PREMISES,CLOVERDALE PAINT,2001-06-01 00:00:00,Retail Trade,0,41,0.5,0,0.07,894,STABLE OPERATIONS
VALLEYFIELD,Licensed,"RETAIL DEALER - PREMISES,
WHOLESALER",MAPLELEAF BUILDING MATERIALS AND APPLIANCES,2026-01-14 10:32:16,Retail Trade,1,93,1.13,1,0.05,894,STABLE OPERATIONS
BURNS INDUSTRIAL,Renewal Invoiced,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES",HIGHFIELD REGENERATIVE FARM,2023-04-20 13:14:02,Food & Beverage,0,204,2.49,0,0.08,943,URGENT INTERVENTION
HOMESTEAD,Licensed,LIQUOR STORE,HOMESTEAD LIQUOR,2025-07-10 10:25:25,Liquor & Nightlife,1,5,0.06,1,0.8,37,STABLE OPERATIONS
MCCALL,Renewal Licensed,WHOLESALER,ACCURATE WESTERN SCALE CO,2001-06-01 00:00:00,Wholesaler,0,387,4.72,0,0.15,73,URGENT INTERVENTION
MEADOWLARK PARK,Renewal Licensed,RETAIL DEALER - PREMISES,CONNECT HEARING,2010-08-25 11:24:57,Retail Trade,0,209,2.55,0,0.09,894,URGENT INTERVENTION
CHRISTIE PARK,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",JJAWANG,2022-12-19 15:05:16,Food & Beverage,0,13,0.16,0,0.08,943,STABLE OPERATIONS
EVANSTON,Licensed,"SCHOOL (PROV. NOT REQUIRED),
RETAIL DEALER - PREMISES",MUSICWORKS CANADA 130,2025-11-13 11:33:56,Retail Trade,1,85,1.04,1,0.05,894,STABLE OPERATIONS
SIGNAL HILL,Licensed,PERSONAL SERVICE,NAIL CRUSH,2025-11-12 09:19:21,Personal,1,139,1.7,1,0.08,449,MONITOR FRICTION
FOOTHILLS,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),TROPHY FOODS,2001-06-01 00:00:00,Food & Beverage,0,850,10.37,0,0.09,943,URGENT INTERVENTION
MERIDIAN,Renewal Invoiced,FOOD SERVICE - NO PREMISES,FAMILY DOUGH 2  (CGY-1102),2024-05-01 07:07:00,Food & Beverage,0,193,2.35,0,0.12,943,URGENT INTERVENTION
RUNDLE,Renewal Licensed,PERSONAL SERVICE,SUPER CHOICE HAIR & TANNING SALON,2001-12-22 20:23:49,Personal,0,34,0.41,0,0.09,449,STABLE OPERATIONS
BELTLINE,Pending Renewal,"RETAIL DEALER - PREMISES,
SECONDHAND DEALER",BEX VINTAGE,2024-06-27 18:37:10,Retail Trade,0,971,11.84,0,0.11,894,URGENT INTERVENTION
OAKRIDGE,Renewal Invoiced,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES",APPLE LADY,2021-05-10 14:12:52,Food & Beverage,0,50,0.61,0,0.16,943,STABLE OPERATIONS
MANCHESTER INDUSTRIAL,Renewal Licensed,"FOOD SERVICE - PREMISES,
WAREHOUSING",VERSACOLD LOGISTICS SERVICES,2011-10-29 05:49:45,Food & Beverage,0,827,10.09,0,0.1,943,URGENT INTERVENTION
